1185	人格	réngé	446
1186	人工	réngōng	446
1187	人家	rénjiā	447
1188	人间	rénjiān	447
1189	人士	rénshì	447
1190	人为	rénwéi	448
1191	人性	rénxìng	448
1192	人质	rénzhì	448
1193	仁慈	réncí	448
1194	忍耐	rěnnài	449
1195	忍受	rěnshòu	449
1196	认定	rèndìng	449
1197	认可	rènkě	449
1198	任命	rènmìng	450
1199	任性	rènxìng	450
1200	任意	rènyì	450
1201	任重道远	rènzhòng-dàoyuǎn	450
1202	仍旧	réngjiù	451
1203	日新月异	rìxīn-yuèyì	451
1204	日益	rìyì	451
1205	荣幸	róngxìng	451
1206	荣誉	róngyù	452
1207	容貌	róngmào	452
1208	容纳	róngnà	452
1209	融化	rónghuà	453
1210	融洽	róngqià	453
1211	柔和	róuhé	454
1212	揉	róu	454
1213	儒家	rújiā	454
1214	若干	ruògān	455
1215	弱点	ruòdiǎn	455
1216	撒谎	sāhuǎng	456
1217	腮	sāi	456
1218	三角	sānjiǎo	456
1219	散文	sǎnwén	456
1220	散布	sànbù	457
1221	散发	sànfā	457
1222	丧失	sàngshī	457
1223	骚扰	sāorǎo	457
1224	嫂子	sǎozi	458
1225	色彩	sècǎi	458
1226	刹车	shā//chē	458
1227	啥	shá	459
1228	筛选	shāixuǎn	459
1229	山脉	shānmài	459
1230	闪烁	shǎnshuò	459
1231	擅长	shàncháng	460
1232	擅自	shànzì	460
1233	伤脑筋	shāng nǎojīn	460
1234	商标	shāngbiāo	460
1235	上级	shàngjí	461
1236	上进	shàngjìn	461
1237	上任	shàng//rèn	461
1238	上瘾	shàng//yǐn	461
1239	上游	shàngyóu	462
1240	尚且	shàngqiě	462
1241	捎	shāo	462
1242	稍	shāo	462
1243	烧	shāo	463
1244	奢侈	shēchǐ	463
1245	舌头	shétou	463
1246	社区	shèqū	463
1247	设立	shèlì	464
1248	设想	shèxiǎng	464
1249	设置	shèzhì	464
1250	涉及	shèjí	465
1251	摄取	shèqǔ	465
1252	摄氏度	shèshìdù	465
1253	申报	shēnbào	465
1254	呻吟	shēnyín	466
1255	绅士	shēnshì	466
1256	深奥	shēn'ào	466
1257	深沉	shēnchén	466
1258	深情厚谊	shēnqíng-hòuyì	467
1259	神经	shénjīng	467
1260	神奇	shénqí	467
1261	神气	shénqì	468
1262	神情	shénqíng	468
1263	神色	shénsè	468
1264	神圣	shénshèng	469
1265	神态	shéntài	469
1266	神仙	shénxiān	469
1267	审查	shěnchá	469
1268	审理	shěnlǐ	470
1269	审美	shěnměi	470
1270	审判	shěnpàn	470
1271	渗透	shèntòu	470
1272	慎重	shènzhòng	471
1273	生存	shēngcún	471
1274	生机	shēngjī	471
1275	生理	shēnglǐ	472
1276	生疏	shēngshū	472
1277	生态	shēngtài	472
1278	生物	shēngwù	473
1279	生效	shēngxiào	473
1280	生锈	shēngxiù	473
1281	生育	shēngyù	474
1282	声明	shēngmíng	474
1283	声势	shēngshì	474
1284	声誉	shēngyù	474
1285	牲畜	shēngchù	475
1286	省会	shěnghuì	475
1287	胜负	shèngfù	475
1288	盛产	shèngchǎn	475
1289	盛开	shèngkāi	476
1290	盛情	shèngqíng	476
1291	盛行	shèngxíng	476
1292	尸体	shītǐ	476
1293	失事	shīshì	477
1294	失误	shīwù	477
1295	失踪	shīzōng	477
1296	师范	shīfàn	478
1297	施加	shījiā	478
1298	施展	shīzhǎn	478
1299	十足	shízú	478
1300	石油	shíyóu	479
1301	时差	shíchā	479
1302	时常	shícháng	479
1303	时而	shí'ér	479
1304	时光	shíguāng	480
1305	时机	shíjī	480
1306	时事	shíshì	480
1307	时装	shízhuāng	480
1308	识别	shíbié	481
1309	实惠	shíhuì	481
1310	实力	shílì	481
1311	实施	shíshī	481
1312	事实求是	shìshí-qiúshì	482
1313	实行	shíxíng	482
1314	实质	shízhì	482
1315	拾	shí	483
1316	使命	shǐmìng	483
1317	示范	shìfàn	483
1318	示威	shìwēi	483
1319	示意	shìyì	484
1320	世代	shìdài	484
1321	世界观	shìjièguān	484
1322	势必	shìbì	484
1323	势力	shìlì	485
1324	事故	shìgù	485
1325	事迹	shìjì	485
1326	事件	shìjiàn	485
1327	事态	shìtài	486
1328	事务	shìwù	486
1329	事项	shìxiàng	486
1330	事业	shìyè	486
1331	试图	shìtú	487
1332	试验	shìyàn	487
1333	视力	shìlì	487
1334	视频	shìpín	487
1335	视线	shìxiàn	488
1336	视野	shìyě	488
1337	是非	shìfēi	488
1338	适宜	shìyí	489
1339	逝世	shìshì	489
1340	释放	shìfàng	489
1341	收藏	shōucáng	489
1342	收缩	shōusuō	490
1343	收益	shōuyì	490
1344	收音机	shōuyīnjī	490
1345	手法	shǒufǎ	491
1346	手势	shǒushì	491
1347	手艺	shǒuyì	491
1348	守护	shǒuhù	491
1349	首饰	shǒushì	492
1350	首要	shǒuyào	492
1351	受罪	shòuzuì	492
1352	授予	shòuyǔ	492
1353	书法	shūfǎ	493
1354	书籍	shūjí	493
1355	书记	shūjì	493
1356	书面	shūmiàn	493
1357	舒畅	shūchàng	494
1358	疏忽	shūhū	494
1359	疏远	shūyuǎn	494
1360	数	shǔ	495
1361	束	shù	495
1362	束缚	shùfù	495
1363	树立	shùlì	495
1364	竖	shù	496
1365	数额	shù'é	496
1366	数目	shùmù	496
1367	耍	shuǎ	497
1368	衰老	shuāilǎo	497
1369	衰退	shuāituì	497
1370	率领	shuàilǐng	498
1371	涮火锅	shuànhuǒguō	498
1372	双胞胎	shuāngbāotāi	498
1373	爽快	shuǎngkuài	498
1374	水利	shuǐlì	499
1375	水龙头	shuǐlóngtóu	499
1376	水泥	shuǐní	499
1377	瞬间	shùnjiān	499
1378	司法	sīfǎ	500
1379	司令	sīlìng	500
1380	私自	sīzì	500
1381	思念	sīniàn	500
1382	思索	sīsuǒ	501
1383	思维	sīwéi	501
1384	思绪	sīxù	501
1385	斯文	sīwén	501
1386	死亡	sǐwáng	502
1387	四肢	sìzhī	502
1388	寺庙	sìmiào	502
1389	饲养	sìyǎng	502
1390	肆无忌惮	sìwú-jìdàn	503
1391	搜	sōu	503
1392	搜索	sōusuǒ	503
1393	艘	sōu	503
1394	苏醒	sūxǐng	504
1395	俗话	súhuà	504
1396	诉讼	sùsòng	504
1397	素食	sùshí	505
1398	素质	sùzhì	505
1399	塑造	sùzào	505
1400	算了	suànle	505
1401	算数	suàn//shù	506
1402	随即	suíjí	506
1403	随身	suíshēn	506
1404	随手	suíshǒu	506
1405	随意	suí//yì	507
1406	岁月	suìyuè	507
1407	隧道	suìdào	507
1408	损坏	sǔnhuài	507
1409	索取	suǒqǔ	508
1410	索性	suǒxìng	508
1411	塌	tā	509
1412	踏实	tāshi	509
1413	塔	tǎ	509
1414	台风	táifēng	509
1415	太空	tàikōng	510
1416	泰斗	tàidǒu	510
1417	贪婪	tānlán	510
1418	贪污	tānwū	510
1419	摊	tān	511
1420	瘫痪	tānhuàn	511
1421	弹性	tánxìng	511
1422	坦白	tǎnbái	512
1423	叹气	tàn//qì	512
1424	探测	tàncè	512
1425	探索	tànsuǒ	513
1426	探讨	tàntǎo	513
1427	探望	tànwàng	513
1428	糖葫芦	tánghúlu	513
1429	倘若	tǎngruò	514
