source_file	seq	headword	reason
1001-1250.md	1008	杰出	duplicate_lost
1001-1250.md	1023	央杂	duplicate_lost
1001-1250.md	1027	紧密	duplicate_lost
1001-1250.md	1028	紧迫	duplicate_lost
1001-1250.md	1029	锦上添花	duplicate_lost
1001-1250.md	1030	进而	duplicate_lost
1001-1250.md	1031	进攻	duplicate_lost
1001-1250.md	1032	进化	duplicate_lost
1001-1250.md	1062	奨励	duplicate_lost
1001-1250.md	1065	矫气	duplicate_lost
1001-1250.md	1069	锻納	duplicate_lost
1001-1250.md	1095	勁头	duplicate_lost
1001-1250.md	1145	穎粒	duplicate_lost
1001-1250.md	1177	雰切	duplicate_lost
1001-1250.md	1178	樂趣	duplicate_lost
1001-1250.md	1184	理所営然	duplicate_lost
1001-1250.md	1222	領袖	duplicate_lost
1001-1250.md	1223	留惩	duplicate_lost
1001-1250.md	1225	壷断	duplicate_lost
1001-1250.md	1227	楼	duplicate_lost
1001-1250.md	1228	塘娃	duplicate_lost
1001-1250.md	1230	掠奪	duplicate_lost
1001-1250.md	1231	輪船	duplicate_lost
1001-1250.md	1232	輪廓	duplicate_lost
1001-1250.md	1241	鳩蟻	duplicate_lost
1001-1250.md	1242	辺	duplicate_lost
1001-1250.md	1244	漫书	duplicate_lost
1001-1250.md	1246	冒険	duplicate_lost
1001-1250.md	1247	没轍	duplicate_lost
1001-1250.md	1248	媒赠	duplicate_lost
1001-1250.md	1279	落实	duplicate_lost
1001-1250.md	1292	漫长	duplicate_lost
1251-1500.md	1272	素	duplicate_lost
1251-1500.md	1276	迷惑	duplicate_lost
1251-1500.md	1305	命名ming//	duplicate_lost
1251-1500.md	1306	模索	duplicate_lost
1251-1500.md	1318	模様	duplicate_lost
1251-1500.md	1322	汰浴	duplicate_lost
1251-1500.md	1323	全手	duplicate_lost
1251-1500.md	1325	南猿北撤（南韩北辙)n6nyudn-	duplicate_lost
1251-1500.md	1329	唯能可责（难能可贵)ndnneng_	duplicate_lost
1251-1500.md	1330	惜火	duplicate_lost
1251-1500.md	1331	沙小	duplicate_lost
1251-1500.md	1347	欧洲	duplicate_lost
1251-1500.md	1348	殴打	duplicate_lost
1251-1500.md	1349	呕吐	duplicate_lost
1251-1500.md	1350	偶像	duplicate_lost
1251-1500.md	1404	屏障	duplicate_lost
1251-1500.md	1408	迫害	duplicate_lost
1251-1500.md	1409	破例pb//	duplicate_lost
1251-1500.md	1410	块力	duplicate_lost
1251-1500.md	1411	扑	duplicate_lost
1251-1500.md	1412	铺	duplicate_lost
1251-1500.md	1413	扑实	duplicate_lost
1251-1500.md	1414	扑素	duplicate_lost
1251-1500.md	1415	普及	duplicate_lost
1251-1500.md	1416	暴布	duplicate_lost
1251-1500.md	1417	凄凉qT	duplicate_lost
1251-1500.md	1418	期望	duplicate_lost
1251-1500.md	1419	期限	duplicate_lost
1251-1500.md	1420	欺负欺鸦芥全芥心坊力■■	duplicate_lost
1251-1500.md	1421	欺负	duplicate_lost
1251-1500.md	1422	欺'"	duplicate_lost
1251-1500.md	1424	芥心坊力（齐心协力)qixTn_	duplicate_lost
1251-1500.md	1426	岐视	duplicate_lost
1251-1500.md	1427	旗抱	duplicate_lost
1251-1500.md	1429	乞巧邑有此理企圏后程■■	duplicate_lost
1251-1500.md	1430	乞巧	duplicate_lost
1251-1500.md	1434	启事	duplicate_lost
1251-1500.md	1435	起草qY//	duplicate_lost
1251-1500.md	1438	起咲qY//	duplicate_lost
1251-1500.md	1439	起鸿	duplicate_lost
1251-1500.md	1444	气块	duplicate_lost
1251-1500.md	1447	気味	duplicate_lost
1251-1500.md	1448	〈名〉鼻子司到的味	duplicate_lost
1251-1500.md	1449	気象（気象)q'	duplicate_lost
1251-1500.md	1450	气坠	duplicate_lost
1251-1500.md	1455	格	duplicate_lost
1251-1500.md	1456	恰営	duplicate_lost
1251-1500.md	1457	恰到好虻（恰到好虎)qiddbo-	duplicate_lost
1251-1500.md	1459	洽淡千方百汁迂就迂徒■■	duplicate_lost
1251-1500.md	1460	洽淡（洽谈)qit,	duplicate_lost
1251-1500.md	1461	幸（牵)q'	duplicate_lost
1251-1500.md	1462	牵祉	duplicate_lost
1251-1500.md	1463	牵制（牵制)q'	duplicate_lost
1251-1500.md	1464	茶订	duplicate_lost
1251-1500.md	1465	苓署	duplicate_lost
1251-1500.md	1468	潜水（潜水)q'	duplicate_lost
1251-1500.md	1469	潜移獣化qidnyi-	duplicate_lost
1251-1500.md	1470	证责	duplicate_lost
1251-1500.md	1471	强制掩劫掩救彊迫■	duplicate_lost
1251-1500.md	1472	彊制	duplicate_lost
1251-1500.md	1473	枪劫	duplicate_lost
1251-1500.md	1474	枪救	duplicate_lost
1251-1500.md	1475	掻迫	duplicate_lost
1251-1500.md	1477	里门	duplicate_lost
1251-1500.md	1478	初实	duplicate_lost
1251-1500.md	1479	吃而不舎（键而不舍)qie'	duplicate_lost
1251-1500.md	1480	担韩	duplicate_lost
